Date,Description,Amount
2025-06-01,Payroll,3500.00
2025-06-02,Netflix,-15.49
2025-06-03,Amazon Marketplace,-120.45
2025-06-04,Trader Joe's,-86.23
2025-06-07,Uber,-23.60
2025-06-10,Verizon,-89.99
2025-06-15,Rent,-1500.00
2025-06-20,Spotify,-9.99
2025-06-25,Whole Foods,-132.75
2025-07-01,Payroll,3500.00
2025-07-02,Netflix,-15.49
2025-07-03,Amazon Marketplace,-58.10
2025-07-04,Costco,-142.90
2025-07-06,Lyft,-17.80
2025-07-10,Comcast,-99.50
2025-07-15,Mortgage,-1500.00
2025-07-20,Shell,-46.20
2025-07-25,Trader Joe's,-94.35
